"Technique","Min_Accuracy","1st.Qu_Accuracy","Median_Accuracy","Mean_Accuracy","3rd.Qu_Accuracy","Max_Accuracy","NA.s","Runtime_Training","Seed","Samples","Female_samples","Male_samples","Data_division_method","Training_samples_80p","Training_samples_Female","Training_samples_Male","Test_samples_20p","Test_samples_Female","Test_samples_Male","Operational_System"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RNA 1 (nnet)",0.9375,0.9625,0.975,0.970833333333333,0.9875,1,0,"00:00:14",123,1000,500,500,"createDP",800,400,400,200,100,100,"unix"
"RNA 2 (mlp)",0.9375,0.953125,0.975,0.967916666666667,0.975,0.9875,0,"00:00:14",123,1000,500,500,"createDP",800,400,400,200,100,100,"unix"
"RNA 3 (mlpML)",0.9125,0.9625,0.9625,0.967083333333333,0.975,1,0,"00:00:14",123,1000,500,500,"createDP",800,400,400,200,100,100,"unix"
"SVM 1 (svmRadial)",0.9125,0.95,0.9625,0.963333333333333,0.975,1,0,"00:00:05",123,1000,500,500,"createDP",800,400,400,200,100,100,"unix"
"SVM 2 (svmRadialWeights)",0.9125,0.95,0.975,0.964583333333333,0.975,1,0,"00:00:14",123,1000,500,500,"createDP",800,400,400,200,100,100,"unix"
"SVM 3 (svmPoly)",0.925,0.953125,0.975,0.971666666666667,0.9875,1,0,"00:00:48",123,1000,500,500,"createDP",800,400,400,200,100,100,"unix"
"CART 1 (rpart)",0.875,0.9375,0.9375,0.939583333333333,0.9625,0.975,0,"00:00:01",123,1000,500,500,"createDP",800,400,400,200,100,100,"unix"
"CART 2 (rpart1SE)",0.8875,0.928125,0.95,0.94625,0.9625,1,0,"00:00:01",123,1000,500,500,"createDP",800,400,400,200,100,100,"unix"
"CART 3 (rpart2)",0.8875,0.9375,0.94375,0.945416666666667,0.9625,1,0,"00:00:01",123,1000,500,500,"createDP",800,400,400,200,100,100,"unix"
"Decision Trees 1 (C5.0)",0.925,0.953125,0.975,0.96875,0.975,1,0,"00:00:18",123,1000,500,500,"createDP",800,400,400,200,100,100,"unix"
"Decision Trees 2 (C5.0Rules)",0.9125,0.928125,0.95,0.9525,0.975,1,0,"00:00:02",123,1000,500,500,"createDP",800,400,400,200,100,100,"unix"
"Decision Trees 3 (C5.0Tree)",0.85,0.9375,0.95,0.946666666666667,0.975,1,0,"00:00:02",123,1000,500,500,"createDP",800,400,400,200,100,100,"unix"
"Random Forest 1 (rf)",0.925,0.95,0.96875,0.966666666666667,0.9875,1,0,"00:00:28",123,1000,500,500,"createDP",800,400,400,200,100,100,"unix"
"Random Forest 2 (cforest)",0.925,0.95,0.9625,0.960416666666667,0.975,0.9875,0,"00:02:49",123,1000,500,500,"createDP",800,400,400,200,100,100,"unix"
"Random Forest 3 (parRF)",0.9125,0.940625,0.975,0.96875,0.9875,1,0,"00:00:28",123,1000,500,500,"createDP",800,400,400,200,100,100,"unix"
