"Technique","Min_Accuracy","1st.Qu_Accuracy","Median_Accuracy","Mean_Accuracy","3rd.Qu_Accuracy","Max_Accuracy","NA.s","Runtime_Training","Seed","Samples","Female_samples","Male_samples","Data_division_method","Training_samples_80p","Training_samples_Female","Training_samples_Male","Test_samples_20p","Test_samples_Female","Test_samples_Male","Operational_System"
"k-NN 1 (knn)",0.94375,0.95625,0.96875,0.966666666666667,0.975,0.99375,0,"00:00:02",123,2000,1000,1000,"createDP",1600,800,800,400,200,200,"windows"
"k-NN 2 (kknn)",0.9375,0.9625,0.96875,0.968958333333333,0.975,0.99375,0,"00:00:26",123,2000,1000,1000,"createDP",1600,800,800,400,200,200,"windows"
"Naive Bayes 1 (nb)",0.86875,0.90625,0.915625,0.916875,0.93125,0.95625,0,"00:00:16",123,2000,1000,1000,"createDP",1600,800,800,400,200,200,"windows"
"Naive Bayes 2 (naive_bayes)",0.88125,0.9,0.91875,0.915,0.925,0.95,0,"00:00:02",123,2000,1000,1000,"createDP",1600,800,800,400,200,200,"windows"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RNA 1 (nnet)",0.9375,0.9625,0.975,0.969583333333333,0.975,1,0,"00:00:20",123,1000,500,500,"createDP",800,400,400,200,100,100,"windows"
"RNA 2 (mlp)",0.9375,0.9625,0.975,0.968333333333333,0.975,1,0,"00:00:13",123,1000,500,500,"createDP",800,400,400,200,100,100,"windows"
"RNA 3 (mlpML)",0.9375,0.953125,0.9625,0.96625,0.975,1,0,"00:00:13",123,1000,500,500,"createDP",800,400,400,200,100,100,"windows"
"SVM 1 (svmRadial)",0.925,0.9625,0.9625,0.9625,0.975,1,0,"00:00:07",123,1000,500,500,"createDP",800,400,400,200,100,100,"windows"
"SVM 2 (svmRadialWeights)",0.9375,0.953125,0.96875,0.9675,0.975,0.9875,0,"00:00:18",123,1000,500,500,"createDP",800,400,400,200,100,100,"windows"
"SVM 3 (svmPoly)",0.9375,0.9625,0.975,0.97125,0.9875,1,0,"00:00:44",123,1000,500,500,"createDP",800,400,400,200,100,100,"windows"
"CART 1 (rpart)",0.875,0.925,0.9375,0.939166666666667,0.959375,0.975,0,"00:00:01",123,1000,500,500,"createDP",800,400,400,200,100,100,"windows"
"CART 2 (rpart1SE)",0.875,0.9375,0.95,0.947916666666667,0.9625,0.975,0,"00:00:01",123,1000,500,500,"createDP",800,400,400,200,100,100,"windows"
"CART 3 (rpart2)",0.9,0.928125,0.95,0.9475,0.9625,1,0,"00:00:01",123,1000,500,500,"createDP",800,400,400,200,100,100,"windows"
"Decision Trees 1 (C5.0)",0.925,0.9625,0.975,0.969583333333333,0.9875,1,0,"00:00:20",123,1000,500,500,"createDP",800,400,400,200,100,100,"windows"
"Decision Trees 2 (C5.0Rules)",0.9,0.95,0.9625,0.957083333333333,0.975,0.9875,0,"00:00:02",123,1000,500,500,"createDP",800,400,400,200,100,100,"windows"
"Decision Trees 3 (C5.0Tree)",0.8875,0.9375,0.95,0.946666666666667,0.9625,0.975,0,"00:00:02",123,1000,500,500,"createDP",800,400,400,200,100,100,"windows"
"Random Forest 1 (rf)",0.9375,0.9625,0.975,0.970416666666667,0.975,1,0,"00:00:27",123,1000,500,500,"createDP",800,400,400,200,100,100,"windows"
"Random Forest 2 (cforest)",0.9125,0.95,0.9625,0.964166666666667,0.975,1,0,"00:02:27",123,1000,500,500,"createDP",800,400,400,200,100,100,"windows"
"Random Forest 3 (parRF)",0.9375,0.9625,0.975,0.969583333333333,0.975,1,0,"00:00:27",123,1000,500,500,"createDP",800,400,400,200,100,100,"windows"
"k-NN 1 (knn)",0.9125,0.9375,0.95,0.949166666666667,0.9625,0.9875,0,"00:00:01",123,1000,500,500,"createDP",800,400,400,200,100,100,"windows"
"k-NN 2 (kknn)",0.9,0.9375,0.95,0.952916666666667,0.975,0.9875,0,"00:00:12",123,1000,500,500,"createDP",800,400,400,200,100,100,"windows"
"Naive Bayes 1 (nb)",0.8375,0.875,0.8875,0.900416666666667,0.925,0.975,0,"00:00:09",123,1000,500,500,"createDP",800,400,400,200,100,100,"windows"
"Naive Bayes 2 (naive_bayes)",0.8625,0.8875,0.90625,0.907916666666667,0.925,0.9625,0,"00:00:02",123,1000,500,500,"createDP",800,400,400,200,100,100,"windows"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RNA 1 (nnet)",0.9,0.95,0.975,0.961666666666667,0.975,1,0,"00:00:11",123,500,250,250,"createDP",400,200,200,100,50,50,"windows"
"RNA 2 (mlp)",0.9,0.95,0.95,0.965833333333333,1,1,0,"00:00:08",123,500,250,250,"createDP",400,200,200,100,50,50,"windows"
"RNA 3 (mlpML)",0.9,0.95,0.975,0.961666666666667,0.975,1,0,"00:00:09",123,500,250,250,"createDP",400,200,200,100,50,50,"windows"
"SVM 1 (svmRadial)",0.9,0.95,0.975,0.963333333333333,0.975,1,0,"00:00:03",123,500,250,250,"createDP",400,200,200,100,50,50,"windows"
"SVM 2 (svmRadialWeights)",0.9,0.95,0.975,0.965,0.99375,1,0,"00:00:09",123,500,250,250,"createDP",400,200,200,100,50,50,"windows"
"SVM 3 (svmPoly)",0.9,0.95,0.975,0.965,1,1,0,"00:00:23",123,500,250,250,"createDP",400,200,200,100,50,50,"windows"
"CART 1 (rpart)",0.875,0.90625,0.95,0.935,0.95,1,0,"00:00:01",123,500,250,250,"createDP",400,200,200,100,50,50,"windows"
"CART 2 (rpart1SE)",0.85,0.925,0.95,0.939166666666667,0.975,1,0,"00:00:01",123,500,250,250,"createDP",400,200,200,100,50,50,"windows"
"CART 3 (rpart2)",0.875,0.925,0.95,0.936666666666667,0.95,0.975,0,"00:00:01",123,500,250,250,"createDP",400,200,200,100,50,50,"windows"
"Decision Trees 1 (C5.0)",0.875,0.93125,0.95,0.9575,0.975,1,0,"00:00:11",123,500,250,250,"createDP",400,200,200,100,50,50,"windows"
"Decision Trees 2 (C5.0Rules)",0.875,0.90625,0.925,0.9325,0.95,1,0,"00:00:02",123,500,250,250,"createDP",400,200,200,100,50,50,"windows"
"Decision Trees 3 (C5.0Tree)",0.85,0.925,0.95,0.936666666666667,0.975,1,0,"00:00:02",123,500,250,250,"createDP",400,200,200,100,50,50,"windows"
"Random Forest 1 (rf)",0.9,0.95,0.975,0.964166666666667,0.975,1,0,"00:00:13",123,500,250,250,"createDP",400,200,200,100,50,50,"windows"
"Random Forest 2 (cforest)",0.875,0.925,0.95,0.955,0.975,1,0,"00:00:46",123,500,250,250,"createDP",400,200,200,100,50,50,"windows"
"Random Forest 3 (parRF)",0.9,0.95,0.975,0.965,0.99375,1,0,"00:00:13",123,500,250,250,"createDP",400,200,200,100,50,50,"windows"
"k-NN 1 (knn)",0.875,0.95,0.9625,0.9575,0.975,1,0,"00:00:01",123,500,250,250,"createDP",400,200,200,100,50,50,"windows"
