"Technique","Min_Accuracy","1st.Qu_Accuracy","Median_Accuracy","Mean_Accuracy","3rd.Qu_Accuracy","Max_Accuracy","NA.s","Runtime_Training","Seed","Samples","Female_samples","Male_samples","Data_division_method","Training_samples_80p","Training_samples_Female","Training_samples_Male","Test_samples_20p","Test_samples_Female","Test_samples_Male","Operational_System"
"Random Forest 3 (parRF)",0.956521739130435,0.969488188976378,0.980392156862745,0.978993198391471,0.984251968503937,1,0,"00:01:45",123,3168,1584,1584,"sample-prob",2539,1262,1277,629,322,307,"windows"
"k-NN 1 (knn)",0.952569169960474,0.961579160312471,0.97441680229404,0.970977023593976,0.976377952755906,0.988188976377953,0,"00:00:04",123,3168,1584,1584,"sample-prob",2539,1262,1277,629,322,307,"windows"
"k-NN 2 (kknn)",0.96078431372549,0.969460956708475,0.978307553453052,0.976369543553626,0.980314960629921,0.988188976377953,0,"00:00:42",123,3168,1584,1584,"sample-prob",2539,1262,1277,629,322,307,"windows"
"Naive Bayes 1 (nb)",0.877952755905512,0.901574803149606,0.919291338582677,0.918486652781516,0.932086614173228,0.956521739130435,0,"00:00:25",123,3168,1584,1584,"sample-prob",2539,1262,1277,629,322,307,"windows"
"Naive Bayes 2 (naive_bayes)",0.858823529411765,0.907200211633625,0.925049018082226,0.920836727831713,0.933070866141732,0.948818897637795,0,"00:00:03",123,3168,1584,1584,"sample-prob",2539,1262,1277,629,322,307,"windows"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RNA 1 (nnet)",0.956521739130435,0.972332015810277,0.976331268868071,0.976423537472836,0.98029550900999,0.992125984251969,0,"00:00:58",1234,3168,1584,1584,"sample-prob",2531,1262,1269,637,322,315,"windows"
"RNA 2 (mlp)",0.952569169960474,0.968379446640316,0.972332015810277,0.973530725490671,0.980237154150198,0.99604743083004,0,"00:00:33",1234,3168,1584,1584,"sample-prob",2531,1262,1269,637,322,315,"windows"
"RNA 3 (mlpML)",0.956521739130435,0.964461890386231,0.976284584980237,0.974055626939913,0.980237154150198,0.988142292490119,0,"00:00:33",1234,3168,1584,1584,"sample-prob",2531,1262,1269,637,322,315,"windows"
"SVM 1 (svmRadial)",0.960474308300395,0.972332015810277,0.980237154150198,0.979584584206289,0.988142292490119,0.99604743083004,0,"00:00:27",1234,3168,1584,1584,"sample-prob",2531,1262,1269,637,322,315,"windows"
"SVM 2 (svmRadialWeights)",0.968503937007874,0.976284584980237,0.98027605739006,0.981039553026886,0.984189723320158,1,0,"00:01:17",1234,3168,1584,1584,"sample-prob",2531,1262,1269,637,322,315,"windows"
"SVM 3 (svmPoly)",0.960474308300395,0.972332015810277,0.976284584980237,0.976956297788205,0.983154526632787,0.992094861660079,0,"00:03:17",1234,3168,1584,1584,"sample-prob",2531,1262,1269,637,322,315,"windows"
"CART 1 (rpart)",0.924901185770751,0.952569169960474,0.956521739130435,0.957864588402076,0.964426877470356,0.98015873015873,0,"00:00:01",1234,3168,1584,1584,"sample-prob",2531,1262,1269,637,322,315,"windows"
"CART 2 (rpart1SE)",0.924901185770751,0.948616600790514,0.960474308300395,0.957589244032243,0.964426877470356,0.988142292490119,0,"00:00:02",1234,3168,1584,1584,"sample-prob",2531,1262,1269,637,322,315,"windows"
"CART 3 (rpart2)",0.928571428571429,0.952569169960474,0.958583610843111,0.958908714309262,0.964531916217983,0.98015873015873,0,"00:00:01",1234,3168,1584,1584,"sample-prob",2531,1262,1269,637,322,315,"windows"
"Decision Trees 1 (C5.0)",0.956349206349206,0.972332015810277,0.976284584980237,0.976551625875488,0.983173978252718,0.992094861660079,0,"00:01:10",1234,3168,1584,1584,"sample-prob",2531,1262,1269,637,322,315,"windows"
"Decision Trees 2 (C5.0Rules)",0.952569169960474,0.960474308300395,0.966410448693913,0.968785489429105,0.975296442687747,0.992094861660079,0,"00:00:06",1234,3168,1584,1584,"sample-prob",2531,1262,1269,637,322,315,"windows"
